Nombre,CAS,Clase,Pictograma
ACETONA,67-64-1,INFLAMABLE,🔥
ACETALDEHIDO,75-07-0,INFLAMABLE,🔥
ALCOHOL ISOPROPILICO,67-63-0,INFLAMABLE,🔥
ALCOHOL N PROPILICO,71-23-8,INFLAMABLE,🔥
ETILMETILCETONA,78-93-3,INFLAMABLE,🔥
1 BUTANOL,71-36-3,INFLAMABLE,🔥
ACIDO NITRICO,7697-37-2,CORROSIVO,🧪
POTASIO HIDROXIDO,1310-58-3,CORROSIVO,🧪
ZINC CLORURO,7646-85-7,CORROSIVO,🧪
CLORURO HIERRO III,7705-08-0,CORROSIVO,🧪
FENOL,108-95-2,TOXICO,💀
CLOROFORMO,67-66-3,TOXICO,💀
CLORURO DE BARIO,10361-37-2,TOXICO,💀
OXIDO DE MERCURIO II,21908-53-2,TOXICO,💀
NITRATO DE PLATA,7761-88-8,COMBURENTE,⭕
PERMANGANATO DE POTASIO,7722-64-7,COMBURENTE,⭕
PEROXIDO DE HIDROGENO,7722-84-1,COMBURENTE,⭕
BICROMATO DE POTASIO,7778-50-9,COMBURENTE,⭕
ACIDO BORICO,10043-35-3,NO PELIGROSO,✅
ACIDO CITRICO,77-92-9,NO PELIGROSO,✅
LUGOL,25655-41-8,NO PELIGROSO,✅
VIOLETA DE GRAM,548-62-9,NO PELIGROSO,✅
GLUCOSA,50-99-7,NO PELIGROSO,✅
SACAROSA,57-50-1,NO PELIGROSO,✅
ALMIDON,9005-84-9,NO PELIGROSO,✅
CLORURO DE SODIO,7647-14-5,NO PELIGROSO,✅
BICARBONATO DE SODIO,144-55-8,NO PELIGROSO,✅
